year,period_end,region_code,org_code,org_name,available_total,available_general_and_acute,available_learning_disabilities,available_maternity,available_mental_illness,occupied_total,occupied_general_and_acute,occupied_learning_disabilities,occupied_maternity,occupied_mental_illness,%_occupied_total,%_occupied_general_and_acute,%_occupied_learning_disabilities,%_occupied_maternity,%_occupied_mental_illness,source_file,quarter,period,occupancy_rate
2020,June,Y56,R1H,BARTS HEALTH NHS TRUST,1846.835165,1639.582418,-,207.2527473,-,1154.747253,1051.406593,-,103.3406593,-,0.625257346,0.641264862,-,0.498621421,-,2020-Q1.csv,Q1,2020_Q1,0.6252573455844934
2020,June,Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,965.3186813,897.3186813,-,68,-,585.7142857,585.5604396,-,0.153846154,-,0.606757434,0.652566866,-,0.002262443,-,2020-Q1.csv,Q1,2020_Q1,0.6067574336292916
2020,June,Y56,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,970.2087912,887.1538462,-,83,0.054945055,587.8351648,556.3186813,-,31.46153846,0.054945055,0.605885218,0.627082533,-,0.37905468,1,2020-Q1.csv,Q1,2020_Q1,0.6058852178333055
2020,June,Y56,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,137.2857143,137.2857143,-,-,-,76.81318681,76.81318681,-,-,-,0.559513327,0.559513327,-,-,-,2020-Q1.csv,Q1,2020_Q1,0.5595133273819446
2020,June,Y56,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,400.6153846,370.2197802,-,30.3956044,-,367.0769231,336.6813187,-,30.3956044,-,0.916282642,0.90940932,-,1,-,2020-Q1.csv,Q1,2020_Q1,0.9162826421818848
2020,June,Y56,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,411.8351648,340.8351648,-,71,-,224.9340659,210.7802198,-,14.15384615,-,0.546174987,0.61842275,-,0.199349946,-,2020-Q1.csv,Q1,2020_Q1,0.5461749872894779
2020,June,Y56,RAT,NORTH EAST LONDON NHS FOUNDATION TRUST,466.4065934,223.4065934,12,-,231,316.3846154,121.032967,8.131868132,-,187.2197802,0.678345075,0.541760944,0.677655678,-,0.810475239,2020-Q1.csv,Q1,2020_Q1,0.6783450746131754
2020,June,Y56,RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,436.8241758,381.8241758,-,55,-,265.5714286,225.4175824,-,40.15384615,-,0.607959548,0.590370115,-,0.73006993,-,2020-Q1.csv,Q1,2020_Q1,0.6079595482865214
2020,June,Y56,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",998.989011,936.989011,-,62,-,553.2197802,515.8901099,-,37.32967033,-,0.553779645,0.550582882,-,0.602091457,-,2020-Q1.csv,Q1,2020_Q1,0.5537796453298524
2020,June,Y56,RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,955.3296703,857.3296703,-,98,-,503.6373626,467.5714286,-,36.06593407,-,0.527186979,0.545381135,-,0.368019735,-,2020-Q1.csv,Q1,2020_Q1,0.5271869787545109
